Region (Hex): 0x18786a00000, Region (Decimal): 1681590845440, L2 Misses: 190
Region (Hex): 0x1879d000000, Region (Decimal): 1681966235648, L2 Misses: 134
Region (Hex): 0x187aea00000, Region (Decimal): 1682261934080, L2 Misses: 94
Region (Hex): 0x18796800000, Region (Decimal): 1681857183744, L2 Misses: 70
Region (Hex): 0x18785c00000, Region (Decimal): 1681576165376, L2 Misses: 17
Region (Hex): 0x18788200000, Region (Decimal): 1681616011264, L2 Misses: 117
Region (Hex): 0x18790000000, Region (Decimal): 1681748131840, L2 Misses: 80
Region (Hex): 0x1879d600000, Region (Decimal): 1681972527104, L2 Misses: 34
Region (Hex): 0x187afc00000, Region (Decimal): 1682280808448, L2 Misses: 102
Region (Hex): 0x187b4000000, Region (Decimal): 1682352111616, L2 Misses: 118
Region (Hex): 0x187a0e00000, Region (Decimal): 1682031247360, L2 Misses: 34
Region (Hex): 0x187ac000000, Region (Decimal): 1682217893888, L2 Misses: 70
Region (Hex): 0x187ad200000, Region (Decimal): 1682236768256, L2 Misses: 92
Region (Hex): 0x187b9800000, Region (Decimal): 1682444386304, L2 Misses: 80
Region (Hex): 0x187bac00000, Region (Decimal): 1682465357824, L2 Misses: 41
Region (Hex): 0x1878b800000, Region (Decimal): 1681672634368, L2 Misses: 73
Region (Hex): 0x18797800000, Region (Decimal): 1681873960960, L2 Misses: 158
Region (Hex): 0x187ab000000, Region (Decimal): 1682201116672, L2 Misses: 180
Region (Hex): 0x187bba00000, Region (Decimal): 1682480037888, L2 Misses: 178
Region (Hex): 0x18787000000, Region (Decimal): 1681597136896, L2 Misses: 117
Region (Hex): 0x18791000000, Region (Decimal): 1681764909056, L2 Misses: 76
Region (Hex): 0x1879e000000, Region (Decimal): 1681983012864, L2 Misses: 83
Region (Hex): 0x187b0a00000, Region (Decimal): 1682295488512, L2 Misses: 168
Region (Hex): 0x18788c00000, Region (Decimal): 1681626497024, L2 Misses: 146
Region (Hex): 0x18788000000, Region (Decimal): 1681613914112, L2 Misses: 156
Region (Hex): 0x187a3200000, Region (Decimal): 1682068996096, L2 Misses: 38
Region (Hex): 0x187a5400000, Region (Decimal): 1682104647680, L2 Misses: 75
Region (Hex): 0x1879ec00000, Region (Decimal): 1681995595776, L2 Misses: 142
Region (Hex): 0x187b7000000, Region (Decimal): 1682402443264, L2 Misses: 60
Region (Hex): 0x18790a00000, Region (Decimal): 1681758617600, L2 Misses: 131
Region (Hex): 0x18784400000, Region (Decimal): 1681550999552, L2 Misses: 129
Region (Hex): 0x18792c00000, Region (Decimal): 1681794269184, L2 Misses: 126
Region (Hex): 0x187a1000000, Region (Decimal): 1682033344512, L2 Misses: 103
Region (Hex): 0x187a9200000, Region (Decimal): 1682169659392, L2 Misses: 86
Region (Hex): 0x187ada00000, Region (Decimal): 1682245156864, L2 Misses: 142
Region (Hex): 0x187b0800000, Region (Decimal): 1682293391360, L2 Misses: 154
Region (Hex): 0x18791a00000, Region (Decimal): 1681775394816, L2 Misses: 107
Region (Hex): 0x1879f800000, Region (Decimal): 1682008178688, L2 Misses: 71
Region (Hex): 0x1878d600000, Region (Decimal): 1681704091648, L2 Misses: 69
Region (Hex): 0x187bc800000, Region (Decimal): 1682494717952, L2 Misses: 120
Region (Hex): 0x18782a00000, Region (Decimal): 1681523736576, L2 Misses: 90
Region (Hex): 0x18799200000, Region (Decimal): 1681901223936, L2 Misses: 24
Region (Hex): 0x187ace00000, Region (Decimal): 1682232573952, L2 Misses: 39
Region (Hex): 0x18781c00000, Region (Decimal): 1681509056512, L2 Misses: 86
Region (Hex): 0x187a2000000, Region (Decimal): 1682050121728, L2 Misses: 122
